case_id,fix_number,fragment_reward,trigger_reward,fragment_completed,trigger_completed,fragment_blocked,trigger_blocked
1,2687,0.750000,0.000000,1,1,0,0
2,1674,1.000000,0.000000,1,1,0,0
3,53,1.000000,0.166667,1,1,0,0
4,68,0.750000,0.000000,1,1,0,0
5,1458,1.000000,0.000000,1,1,0,0
6,119,1.000000,0.000000,1,1,0,0
7,1467,1.000000,0.000000,1,1,0,0
8,166,1.000000,0.025000,1,1,0,0
9,1797,1.000000,0.000000,1,1,0,0
10,198,1.000000,0.033333,1,1,0,0
11,1486,1.000000,0.000000,1,1,0,0
12,1502,1.000000,0.000000,1,1,0,0
13,4245,0.600000,0.020000,1,1,0,0
14,221,0.500000,0.000000,1,1,0,0
15,1865,1.000000,1.000000,1,1,0,0
16,228,1.000000,0.000000,1,1,0,0
17,269,1.000000,0.000000,1,1,0,0
18,273,1.000000,0.666667,1,1,0,0
19,293,0.500000,0.000000,1,1,0,0
20,2932,0.666667,0.000000,1,1,0,0
21,309,0.666667,0.000000,1,1,0,1
22,2070,0.750000,0.000000,1,1,0,0
23,330,1.000000,0.000000,1,1,0,0
24,1504,1.000000,0.000000,1,1,0,0
25,344,1.000000,0.000000,1,1,0,0
26,356,0.666667,0.000000,1,1,0,0
27,361,0.666667,0.000000,1,1,0,0
28,371,0.666667,0.000000,1,1,0,0
29,373,1.000000,0.000000,1,1,0,0
30,375,1.000000,0.000000,1,1,0,0
31,376,0.500000,0.500000,1,1,0,0
32,389,0.666667,0.000000,1,1,0,0
33,393,1.000000,0.000000,1,1,0,0
34,400,1.000000,0.000000,1,1,0,0
35,4280,1.000000,0.000000,1,1,0,0
36,431,0.500000,0.000000,1,1,0,0
37,455,1.000000,0.000000,1,1,0,0
38,468,0.500000,0.000000,1,1,0,0
39,2119,1.000000,0.000000,1,1,0,0
40,487,1.000000,0.000000,1,1,0,0
41,512,1.000000,0.000000,1,1,0,0
42,523,1.000000,0.000000,1,1,0,0
43,555,1.000000,0.000000,1,1,0,0
44,556,1.000000,0.666667,1,1,0,0
45,559,1.000000,0.000000,1,1,0,0
46,4508,0.000000,0.016667,1,1,0,0
47,599,1.000000,0.000000,1,1,0,0
48,3532,0.666667,0.000000,1,1,0,0
49,614,1.000000,0.000000,1,1,0,0
50,670,0.075000,0.025000,1,1,0,0
51,1433,1.000000,0.000000,1,1,0,0
52,696,0.500000,0.000000,1,1,0,0
53,704,1.000000,0.000000,1,1,0,0
54,1522,1.000000,0.250000,1,1,0,0
55,720,0.666667,0.033333,1,1,0,0
56,724,1.000000,0.000000,1,1,0,0
57,1533,1.000000,0.000000,1,1,0,0
58,732,1.000000,1.000000,1,1,0,0
59,758,0.666667,0.000000,1,1,0,0
60,770,1.000000,0.000000,1,1,0,0
61,780,1.000000,0.000000,1,1,0,0
62,810,0.100000,0.000000,1,1,0,0
63,830,0.100000,0.000000,1,1,0,0
64,835,1.000000,0.000000,1,1,0,0
65,2151,0.500000,0.000000,1,1,0,0
66,841,0.666667,0.000000,1,1,0,0
67,1452,0.666667,0.000000,1,1,0,0
68,880,1.000000,0.033333,1,1,0,0
69,894,1.000000,0.000000,1,1,0,0
70,2155,1.000000,0.000000,1,1,0,0
71,908,1.000000,0.000000,1,1,0,0
72,925,0.500000,0.000000,1,1,0,0
73,4517,0.500000,0.025000,1,1,0,0
74,932,1.000000,0.000000,1,1,0,0
75,1457,1.000000,1.000000,1,1,0,0
76,952,0.666667,0.000000,1,1,0,0
77,964,1.000000,0.000000,1,1,0,0
78,978,1.000000,0.000000,1,1,0,0
79,984,0.333333,0.000000,1,1,0,1
80,985,0.750000,0.000000,1,1,0,0
81,1006,0.750000,0.025000,1,1,0,0
82,1010,1.000000,0.666667,1,1,0,0
83,1034,1.000000,0.000000,1,1,0,0
84,1060,1.000000,0.000000,1,1,0,0
85,1067,1.000000,0.000000,1,1,0,0
86,2181,1.000000,0.000000,1,1,0,0
87,4137,0.000000,0.000000,1,1,0,0
88,2275,0.000000,0.000000,1,1,0,0
89,1121,0.500000,0.050000,1,1,0,0
90,1148,0.666667,0.033333,1,1,0,0
91,2562,0.600000,0.000000,1,1,0,0
92,1175,1.000000,0.000000,1,1,0,0
93,2594,0.075000,0.000000,1,1,0,0
94,1220,0.666667,0.000000,1,1,0,0
95,1227,1.000000,0.000000,1,1,0,0
96,4969,0.750000,,1,0,0,0
