case_id,fix_number,fragment_reward,trigger_reward
1,39,0.000,
2,43,1.000,
3,53,1.000,0.000
4,68,1.000,0.000
5,107,,
6,119,1.000,0.050
7,140,0.750,0.000
8,166,0.000,0.000
9,169,0.000,0.500
10,198,0.000,0.033
11,200,0.750,
12,201,,
13,220,0.000,
14,221,0.000,0.000
15,223,0.000,1.000
16,228,0.000,0.000
17,269,0.000,0.000
18,273,1.000,0.667
19,293,0.500,0.000
20,296,0.000,
21,309,0.000,0.000
22,314,0.000,1.000
23,330,1.000,0.000
24,343,0.000,0.000
25,344,1.000,0.050
26,356,0.000,
27,361,0.000,0.000
28,371,0.000,0.000
29,373,0.000,0.000
30,375,0.000,
31,376,0.500,0.000
32,389,0.667,0.000
33,393,1.000,0.000
34,400,1.000,0.000
35,422,0.250,0.025
36,431,0.500,0.000
37,455,0.000,0.000
38,468,0.000,0.000
39,486,0.000,
40,487,0.000,0.000
41,512,0.000,
42,523,1.000,0.000
43,555,0.000,0.000
44,556,1.000,0.000
45,559,1.000,0.000
46,569,0.000,0.000
47,599,0.000,0.000
48,601,0.000,0.667
49,614,0.000,
50,670,0.000,0.000
51,684,0.000,0.000
52,696,1.000,0.000
53,704,0.000,1.000
54,717,0.000,0.000
55,720,0.667,0.667
56,724,1.000,0.000
57,729,0.125,0.000
58,732,1.000,0.000
59,758,0.000,0.000
60,770,1.000,0.000
61,780,1.000,0.000
62,810,0.000,0.050
63,830,0.100,0.100
64,835,0.000,0.000
65,837,0.000,0.000
66,841,0.667,0.000
67,856,0.000,0.000
68,880,1.000,
69,894,1.000,0.000
70,904,0.000,0.000
71,908,0.000,0.000
72,925,0.500,0.000
73,930,0.000,0.000
74,932,1.000,0.000
75,943,0.000,0.000
76,952,0.000,0.000
77,964,0.000,0.033
78,978,0.000,1.000
79,984,0.000,0.000
80,985,0.000,0.000
81,1006,0.750,0.000
82,1010,1.000,0.000
83,1034,0.000,1.000
84,1060,1.000,0.000
85,1067,0.000,0.333
86,1100,1.000,0.000
87,1104,0.000,0.000
88,1110,0.000,0.000
89,1121,0.500,0.000
90,1148,0.667,0.000
91,1171,0.667,0.000
92,1175,0.000,
93,1187,1.000,0.000
94,1220,0.667,0.000
95,1227,1.000,0.000
96,1244,0.000,0.025
97,1294,0.000,0.000
98,1328,,0.000
99,1331,,
100,1338,0.000,0.000
