case_id,fix_number,fragment_reward,trigger_reward
43,555,1.000,0.000
44,556,1.000,0.000
45,559,1.000,0.000
47,599,1.000,0.000
48,3532,0.667,0.000
49,614,1.000,0.000
51,1433,1.000,0.000
52,696,1.000,0.000
53,704,1.000,0.000
54,1522,1.000,0.250
56,724,1.000,0.000
58,732,1.000,0.000
60,770,1.000,0.000
61,780,1.000,0.000
68,880,1.000,0.033
69,894,1.000,0.000
70,2155,1.000,0.000
73,4517,1.000,0.500
74,932,1.000,0.000
75,1457,1.000,0.667
77,964,1.000,0.033
80,985,0.750,0.000
82,1010,1.000,0.667
83,1034,1.000,0.000
85,1067,1.000,0.667
90,1148,0.667,0.000
92,1175,1.000,0.000
93,2594,0.750,0.000
95,1227,1.000,0.000
98,1328,1.000,0.000
100,1338,1.000,0.000
